2025-10-27T13:52:31.913604635Z [inf]  2025-10-27 13:52:22,337 - src.services.data_service - DEBUG - ✅ 緩存命中: OGUSDT 5m
2025-10-27T13:52:31.913609780Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913614647Z [inf]  2025-10-27 13:52:22,338 - src.services.data_service - DEBUG - ✅ 緩存命中: 1000FLOKIUSDT 5m
2025-10-27T13:52:31.913620108Z [inf]  2025-10-27 13:52:22,338 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913624882Z [inf]  2025-10-27 13:52:22,338 - src.services.data_service - DEBUG - ✅ 緩存命中: YALAUSDT 5m
2025-10-27T13:52:31.913629870Z [inf]  2025-10-27 13:52:22,338 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913634844Z [inf]  2025-10-27 13:52:22,338 - src.services.data_service - DEBUG - ✅ 緩存命中: AI16ZUSDT 5m
2025-10-27T13:52:31.913639006Z [inf]  2025-10-27 13:52:22,338 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913643523Z [inf]  2025-10-27 13:52:22,338 - src.services.data_service - DEBUG - ✅ 緩存命中: PENDLEUSDT 5m
2025-10-27T13:52:31.913647915Z [inf]  2025-10-27 13:52:22,338 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913652804Z [inf]  2025-10-27 13:52:22,338 - src.services.data_service - DEBUG - ✅ 緩存命中: SEIUSDT 5m
2025-10-27T13:52:31.913656807Z [inf]  2025-10-27 13:52:22,338 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913662043Z [inf]  2025-10-27 13:52:22,338 - src.services.data_service - DEBUG - ✅ 緩存命中: ZKCUSDT 5m
2025-10-27T13:52:31.913666955Z [inf]  2025-10-27 13:52:22,338 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913672178Z [inf]  2025-10-27 13:52:22,338 - src.services.data_service - DEBUG - ✅ 緩存命中: KDAUSDT 5m
2025-10-27T13:52:31.913677102Z [inf]  2025-10-27 13:52:22,338 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913681751Z [inf]  2025-10-27 13:52:22,338 - src.services.data_service - DEBUG - ✅ 緩存命中: BRETTUSDT 5m
2025-10-27T13:52:31.913686703Z [inf]  2025-10-27 13:52:22,338 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913691131Z [inf]  2025-10-27 13:52:22,338 - src.services.data_service - DEBUG - ✅ 緩存命中: TONUSDT 5m
2025-10-27T13:52:31.913695490Z [inf]  2025-10-27 13:52:22,338 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913700934Z [inf]  2025-10-27 13:52:22,338 - src.services.data_service - DEBUG - ✅ 緩存命中: SOMIUSDT 5m
2025-10-27T13:52:31.913705818Z [inf]  2025-10-27 13:52:22,338 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913710835Z [inf]  2025-10-27 13:52:22,338 - src.services.data_service - DEBUG - ✅ 緩存命中: NXPCUSDT 5m
2025-10-27T13:52:31.916228602Z [inf]  2025-10-27 13:52:23,164 - src.strategies.ict_strategy - DEBUG - FILUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.916240350Z [inf]  2025-10-27 13:52:23,165 - src.strategies.ict_strategy - DEBUG - DOTUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.916248230Z [inf]  2025-10-27 13:52:23,170 - src.strategies.ict_strategy - DEBUG - PENGUUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T13:52:31.916254677Z [inf]  2025-10-27 13:52:23,171 - src.strategies.ict_strategy - DEBUG - MYROUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-27T13:52:31.916261818Z [inf]  2025-10-27 13:52:23,173 - src.strategies.ict_strategy - DEBUG - YBUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.916268990Z [inf]  2025-10-27 13:52:23,175 - src.strategies.ict_strategy - DEBUG - WIFUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.916276386Z [inf]  2025-10-27 13:52:23,176 - src.strategies.ict_strategy - DEBUG - ETHFIUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.916284139Z [inf]  2025-10-27 13:52:23,177 - src.strategies.ict_strategy - DEBUG - ARBUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.916290978Z [inf]  2025-10-27 13:52:23,179 - src.strategies.ict_strategy - DEBUG - FUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bullish
2025-10-27T13:52:31.916298309Z [inf]  2025-10-27 13:52:23,180 - src.strategies.ict_strategy - DEBUG - UNIUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.916306034Z [inf]  2025-10-27 13:52:23,203 - src.strategies.ict_strategy - DEBUG - ✅ DASHUSDT LONG | 信心度: 36.7% | 趨勢: bullish/bullish/bullish
2025-10-27T13:52:31.916312860Z [inf]  2025-10-27 13:52:23,205 - src.strategies.ict_strategy - DEBUG - EIGENUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.916752320Z [inf]  2025-10-27 13:52:23,207 - src.strategies.ict_strategy - DEBUG - BDXNUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.916761255Z [inf]  2025-10-27 13:52:23,220 - src.strategies.ict_strategy - DEBUG - 4USDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:neutral)
2025-10-27T13:52:31.916769050Z [inf]  2025-10-27 13:52:23,223 - src.strategies.ict_strategy - DEBUG - CRVUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.916775185Z [inf]  2025-10-27 13:52:23,242 - src.strategies.ict_strategy - DEBUG - TRXUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.916781464Z [inf]  2025-10-27 13:52:23,243 - src.strategies.ict_strategy - DEBUG - ENSOUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T13:52:31.916788252Z [inf]  2025-10-27 13:52:23,244 - src.strategies.ict_strategy - DEBUG - AAVEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T13:52:31.916794070Z [inf]  2025-10-27 13:52:23,246 - src.strategies.ict_strategy - DEBUG - VANAUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-27T13:52:31.916798779Z [inf]  2025-10-27 13:52:23,270 - src.strategies.ict_strategy - DEBUG - ✅ BLUAIUSDT SHORT | 信心度: 66.0% | 趨勢: bearish/bearish/bearish
2025-10-27T13:52:31.916803889Z [inf]  2025-10-27 13:52:23,271 - src.strategies.ict_strategy - DEBUG - RECALLUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T13:52:31.916809880Z [inf]  2025-10-27 13:52:23,272 - src.strategies.ict_strategy - DEBUG - TRUMPUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.916816754Z [inf]  2025-10-27 13:52:23,274 - src.strategies.ict_strategy - DEBUG - 1000SHIBUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.916822689Z [inf]  2025-10-27 13:52:23,276 - src.strategies.ict_strategy - DEBUG - XLMUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.918936028Z [inf]  2025-10-27 13:52:23,279 - src.strategies.ict_strategy - DEBUG - KAITOUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.918942954Z [inf]  2025-10-27 13:52:23,280 - src.strategies.ict_strategy - DEBUG - AIAUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bullish
2025-10-27T13:52:31.918949189Z [inf]  2025-10-27 13:52:23,281 - src.strategies.ict_strategy - DEBUG - 1000BONKUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.918956868Z [inf]  2025-10-27 13:52:23,283 - src.strategies.ict_strategy - DEBUG - ONDOUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.918961946Z [inf]  2025-10-27 13:52:23,309 - src.strategies.ict_strategy - DEBUG - APTUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
