2025-10-26T09:47:43.366560239Z [inf]  2025-10-26 09:47:34,864 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: BASUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.366562951Z [inf]  2025-10-26 09:47:35,022 - src.services.data_service - DEBUG - 緩存命中: ENSOUSDT 5m
2025-10-26T09:47:43.366567803Z [inf]  2025-10-26 09:47:34,896 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: NEARUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.366572720Z [inf]  2025-10-26 09:47:34,900 - src.strategies.ict_strategy - DEBUG - XANUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T09:47:43.366576468Z [inf]  2025-10-26 09:47:34,915 - src.strategies.ict_strategy - DEBUG - UNIUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bullish, 5m:bullish, structure:bullish)
2025-10-26T09:47:43.366581536Z [inf]  2025-10-26 09:47:34,933 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: ZENUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.366585869Z [inf]  2025-10-26 09:47:34,975 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: JUPUSDT LONG 信心度 60.00%
2025-10-26T09:47:43.366590674Z [inf]  2025-10-26 09:47:34,981 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: EIGENUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.366595911Z [inf]  2025-10-26 09:47:34,987 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: AI16ZUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.366599811Z [inf]  2025-10-26 09:47:35,015 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: XLMUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.366603602Z [inf]  2025-10-26 09:47:35,021 - src.services.parallel_analyzer - INFO - 批次 1 完成: 生成 40 個信號, 累計 40 個
2025-10-26T09:47:43.366607595Z [inf]  2025-10-26 09:47:35,021 - src.services.parallel_analyzer - INFO - 處理批次 2/4 (64 個交易對)
2025-10-26T09:47:43.367810855Z [inf]  2025-10-26 09:47:35,022 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T09:47:43.367815909Z [inf]  2025-10-26 09:47:35,022 - src.services.data_service - DEBUG - 緩存命中: UBUSDT 5m
2025-10-26T09:47:43.367821398Z [inf]  2025-10-26 09:47:35,022 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T09:47:43.367822217Z [inf]  2025-10-26 09:47:35,022 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T09:47:43.367830332Z [inf]  2025-10-26 09:47:35,022 - src.services.data_service - DEBUG - 緩存命中: DOTUSDT 5m
2025-10-26T09:47:43.367836235Z [inf]  2025-10-26 09:47:35,022 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T09:47:43.367841415Z [inf]  2025-10-26 09:47:35,022 - src.services.data_service - DEBUG - 緩存命中: FFUSDT 5m
2025-10-26T09:47:43.367846460Z [inf]  2025-10-26 09:47:35,022 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T09:47:43.367852002Z [inf]  2025-10-26 09:47:35,022 - src.services.data_service - DEBUG - 緩存命中: FILUSDT 5m
2025-10-26T09:47:43.367857450Z [inf]  2025-10-26 09:47:35,022 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T09:47:43.367862933Z [inf]  2025-10-26 09:47:35,022 - src.services.data_service - DEBUG - 緩存命中: SNXUSDT 5m
2025-10-26T09:47:43.367868361Z [inf]  2025-10-26 09:47:35,022 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T09:47:43.367873873Z [inf]  2025-10-26 09:47:35,022 - src.services.data_service - DEBUG - 緩存命中: APTUSDT 5m
2025-10-26T09:47:43.367879663Z [inf]  2025-10-26 09:47:35,022 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T09:47:43.367884948Z [inf]  2025-10-26 09:47:35,022 - src.services.data_service - DEBUG - 緩存命中: RVVUSDT 5m
2025-10-26T09:47:43.368836988Z [inf]  2025-10-26 09:47:35,022 - src.services.data_service - DEBUG - 緩存命中: DASHUSDT 5m
2025-10-26T09:47:43.368842831Z [inf]  2025-10-26 09:47:35,022 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T09:47:43.368844438Z [inf]  2025-10-26 09:47:35,022 - src.services.data_service - DEBUG - 緩存命中: CLOUSDT 5m
2025-10-26T09:47:43.368849634Z [inf]  2025-10-26 09:47:35,022 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
