2025-11-06T10:38:25.189875476Z [inf]  2025-11-06 10:38:21,768 - src.core.elite.unified_data_pipeline - INFO - ✅ 批量数据获取完成: 64个symbols | 成功64 | 失败0 | 耗时0.02秒 | 平均0.3ms/symbol
2025-11-06T10:38:25.189885168Z [inf]  2025-11-06 10:38:21,552 - src.strategies.self_learning_trader - INFO - 🎓 USTCUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189889635Z [inf]  2025-11-06 10:38:21,588 - src.strategies.self_learning_trader - INFO - 🎓 ETHWUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189893758Z [inf]  2025-11-06 10:38:21,610 - src.strategies.self_learning_trader - INFO - 🎓 JTOUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189899914Z [inf]  2025-11-06 10:38:21,646 - src.strategies.self_learning_trader - INFO - 🎓 AUCTIONUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189904443Z [inf]  2025-11-06 10:38:21,667 - src.strategies.self_learning_trader - INFO - 🎓 1000RATSUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189908929Z [inf]  2025-11-06 10:38:21,688 - src.strategies.self_learning_trader - INFO - 🎓 ACEUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189914119Z [inf]  2025-11-06 10:38:21,713 - src.strategies.self_learning_trader - INFO - 🎓 MOVRUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189918438Z [inf]  2025-11-06 10:38:21,751 - src.strategies.self_learning_trader - INFO - 🎓 NFPUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189922466Z [inf]  2025-11-06 10:38:21,751 - src.core.unified_scheduler - INFO - ⏱️  進度: 192/532 | 已分析=192 | 平均分析=21.3ms | 平均數據=6.6ms
2025-11-06T10:38:25.190567196Z [inf]  2025-11-06 10:38:21,769 - src.core.unified_scheduler - INFO - ⏱️  批次 4: 64个symbols数据获取完成，耗时0.02秒
2025-11-06T10:38:25.190569885Z [inf]  2025-11-06 10:38:21,895 - src.strategies.rule_based_signal_generator - INFO -    M5趨勢: bullish=4004, bearish=9238, neutral=18108
2025-11-06T10:38:25.190575505Z [inf]  2025-11-06 10:38:21,798 - src.strategies.self_learning_trader - INFO - 🎓 AIUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.190575842Z [inf]  2025-11-06 10:38:21,895 - src.strategies.rule_based_signal_generator - INFO -    市場結構: bullish=4955, bearish=19689, neutral=6706
2025-11-06T10:38:25.190581718Z [inf]  2025-11-06 10:38:21,895 - src.strategies.rule_based_signal_generator - INFO -    ⚠️ 建議啟用RELAXED_SIGNAL_MODE=true增加信號數量
2025-11-06T10:38:25.190582458Z [inf]  2025-11-06 10:38:21,827 - src.strategies.self_learning_trader - INFO - 🎓 XAIUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.190588553Z [inf]  2025-11-06 10:38:21,927 - src.strategies.rule_based_signal_generator - INFO - 📊 Pipeline進度快照（已掃描200個）
2025-11-06T10:38:25.190589690Z [inf]  2025-11-06 10:38:21,877 - src.strategies.self_learning_trader - INFO - 🎓 MANTAUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.190589959Z [inf]  2025-11-06 10:38:21,895 - src.strategies.rule_based_signal_generator - INFO - 🔍 信號生成統計（已掃描31350個，0信號）：
2025-11-06T10:38:25.190600452Z [inf]  2025-11-06 10:38:21,895 - src.strategies.rule_based_signal_generator - INFO -    H1趨勢: bullish=9765, bearish=2778, neutral=18807
2025-11-06T10:38:25.190606755Z [inf]  2025-11-06 10:38:21,895 - src.strategies.rule_based_signal_generator - INFO -    M15趨勢: bullish=3070, bearish=13168, neutral=15112
2025-11-06T10:38:25.191743694Z [inf]  2025-11-06 10:38:21,928 - src.strategies.rule_based_signal_generator - INFO -    Stage1驗證: 有效=199, 拒絕=0
2025-11-06T10:38:25.191754381Z [inf]  2025-11-06 10:38:21,928 - src.strategies.rule_based_signal_generator - INFO -    Stage3方向: 有=144, 無=55
2025-11-06T10:38:25.191756614Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          有方向=145, 無方向=55
2025-11-06T10:38:25.191764154Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO - ================================================================================
2025-11-06T10:38:25.191767128Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          優先級1(完美對齊)=34
