2025-10-26T08:32:13.762417105Z [inf]  2025-10-26 08:32:13,758 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.762418277Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: HYPEUSDT 5m
2025-10-26T08:32:13.762431342Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.762472500Z [inf]  2025-10-26 08:32:13,758 - src.services.data_service - DEBUG - 緩存命中: COAIUSDT 5m
2025-10-26T08:32:13.762480219Z [inf]  2025-10-26 08:32:13,758 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.762486284Z [inf]  2025-10-26 08:32:13,758 - src.services.data_service - DEBUG - 緩存命中: ZECUSDT 5m
2025-10-26T08:32:13.762492206Z [inf]  2025-10-26 08:32:13,758 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.762498468Z [inf]  2025-10-26 08:32:13,758 - src.services.data_service - DEBUG - 緩存命中: DOGEUSDT 5m
2025-10-26T08:32:13.762505653Z [inf]  2025-10-26 08:32:13,758 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.762511189Z [inf]  2025-10-26 08:32:13,758 - src.services.data_service - DEBUG - 緩存命中: BNBUSDT 5m
2025-10-26T08:32:13.762517126Z [inf]  2025-10-26 08:32:13,758 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.762523149Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: PIPPINUSDT 5m
2025-10-26T08:32:13.762528903Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.763733829Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: AIXBTUSDT 5m
2025-10-26T08:32:13.763743195Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.763750159Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: BLESSUSDT 5m
2025-10-26T08:32:13.763756520Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.763768284Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: ASTERUSDT 5m
2025-10-26T08:32:13.763768503Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.763776346Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: AVNTUSDT 5m
2025-10-26T08:32:13.763784883Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.763789691Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: SUIUSDT 5m
2025-10-26T08:32:13.763792970Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: EDENUSDT 5m
2025-10-26T08:32:13.763828328Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.763844323Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: EVAAUSDT 5m
2025-10-26T08:32:13.763855144Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.763866299Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: 4USDT 5m
2025-10-26T08:32:13.763875966Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.764842547Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.764850980Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: APRUSDT 5m
2025-10-26T08:32:13.764859010Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.764859907Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.764867534Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: PUMPUSDT 5m
2025-10-26T08:32:13.764871816Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.764881203Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: FUSDT 5m
2025-10-26T08:32:13.764887051Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.764892999Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: BLUAIUSDT 5m
2025-10-26T08:32:13.764897769Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.764902266Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: ENAUSDT 5m
2025-10-26T08:32:13.764906925Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.764917613Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: AVAXUSDT 5m
2025-10-26T08:32:13.764922724Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.764927443Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: 1000PEPEUSDT 5m
2025-10-26T08:32:13.766496748Z [inf]  2025-10-26 08:32:13,760 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.766502847Z [inf]  2025-10-26 08:32:13,760 - src.services.data_service - DEBUG - 緩存命中: XPINUSDT 5m
2025-10-26T08:32:13.766510881Z [inf]  2025-10-26 08:32:13,760 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.766518053Z [inf]  2025-10-26 08:32:13,760 - src.services.data_service - DEBUG - 緩存命中: TAOUSDT 5m
2025-10-26T08:32:13.766527942Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: YBUSDT 5m
2025-10-26T08:32:13.766533884Z [inf]  2025-10-26 08:32:13,760 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.766545539Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.766546116Z [inf]  2025-10-26 08:32:13,760 - src.services.data_service - DEBUG - 緩存命中: BCHUSDT 5m
2025-10-26T08:32:13.766559458Z [inf]  2025-10-26 08:32:13,760 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.766560805Z [inf]  2025-10-26 08:32:13,759 - src.services.data_service - DEBUG - 緩存命中: XPLUSDT 5m
2025-10-26T08:32:13.766572104Z [inf]  2025-10-26 08:32:13,760 - src.services.data_service - DEBUG - 緩存命中: TURTLEUSDT 5m
2025-10-26T08:32:13.766576290Z [inf]  2025-10-26 08:32:13,759 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.766585065Z [inf]  2025-10-26 08:32:13,760 - src.services.data_service - DEBUG - 緩存命中: LINKUSDT 5m
2025-10-26T08:32:13.766593037Z [inf]  2025-10-26 08:32:13,760 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.766600401Z [inf]  2025-10-26 08:32:13,760 - src.services.data_service - DEBUG - 緩存命中: ADAUSDT 5m
2025-10-26T08:32:13.766607339Z [inf]  2025-10-26 08:32:13,760 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
