2025-11-24T05:13:33.827322183Z [err]  2025-11-24 05:12:32,068 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.832221381Z [err]  2025-11-24 05:12:32,069 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.832227804Z [err]  2025-11-24 05:12:32,069 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.835071012Z [err]  2025-11-24 05:12:32,069 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.835084535Z [err]  2025-11-24 05:12:32,069 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.838956751Z [err]  2025-11-24 05:12:32,070 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.839060333Z [err]  2025-11-24 05:12:51,919 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.843080267Z [err]  2025-11-24 05:12:32,070 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.843096728Z [err]  2025-11-24 05:12:32,070 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.845682332Z [err]  2025-11-24 05:12:32,071 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.847647098Z [err]  2025-11-24 05:12:32,071 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.851201727Z [err]  2025-11-24 05:12:32,072 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.851216468Z [err]  2025-11-24 05:12:32,072 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.854134541Z [err]  2025-11-24 05:12:32,072 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.856191236Z [err]  2025-11-24 05:12:32,073 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.858837033Z [err]  2025-11-24 05:12:32,073 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.859038811Z [err]  2025-11-24 05:13:30,853 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.863086472Z [err]  2025-11-24 05:12:32,074 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
